epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,157.332,1.7496,1.90441,0.97968,0.8541,0.81496,0.87159,0.39908,1.83113,1.72672,1.0267,0.00117072,0.00117072,0.00117072
61,159.913,1.7236,1.81015,0.97998,0.88265,0.80074,0.8608,0.37626,1.8616,1.7587,1.02006,0.00104537,0.00104537,0.00104537
62,162.632,1.76821,1.84905,0.98437,0.89077,0.80101,0.87524,0.40327,1.79018,1.7363,1.02043,0.00092704,0.00092704,0.00092704
63,165.239,1.73701,1.79718,0.97648,0.86505,0.82056,0.8784,0.40504,1.81116,1.71841,1.01844,0.000815947,0.000815947,0.000815947
64,167.887,1.70495,1.77947,0.97241,0.89323,0.81622,0.88105,0.41042,1.78956,1.73099,1.01748,0.000712282,0.000712282,0.000712282
65,170.492,1.72789,1.7875,0.97893,0.88314,0.82377,0.88252,0.41566,1.77757,1.73101,1.0148,0.000616227,0.000616227,0.000616227
66,173.742,1.70825,1.76161,0.97204,0.89902,0.81245,0.88749,0.4166,1.78018,1.70825,1.01347,0.00052795,0.00052795,0.00052795
67,176.499,1.71868,1.75046,0.97416,0.86929,0.83446,0.88921,0.41569,1.75938,1.72095,1.01378,0.000447606,0.000447606,0.000447606
68,178.987,1.72484,1.79313,0.9758,0.88777,0.82207,0.88793,0.41985,1.74934,1.7241,1.01036,0.000375337,0.000375337,0.000375337
69,181.609,1.75053,1.81056,0.97746,0.8786,0.83475,0.89235,0.42201,1.75857,1.69728,1.01196,0.000311268,0.000311268,0.000311268
70,184.372,1.70851,1.76517,0.9655,0.8753,0.83523,0.8931,0.42122,1.75638,1.71377,1.01211,0.000255513,0.000255513,0.000255513
71,186.93,1.71489,1.76859,0.96465,0.88255,0.8251,0.89002,0.42269,1.7455,1.69768,1.01203,0.000208169,0.000208169,0.000208169
72,189.683,1.7344,1.77153,0.97316,0.88459,0.82763,0.8897,0.41922,1.75773,1.70556,1.01297,0.00016932,0.00016932,0.00016932
73,192.244,1.71208,1.78429,0.97767,0.87306,0.8281,0.89083,0.4186,1.75434,1.7249,1.01185,0.000139032,0.000139032,0.000139032
74,194.847,1.7046,1.76123,0.97625,0.87829,0.82318,0.88158,0.41821,1.75392,1.71681,1.01253,0.00011736,0.00011736,0.00011736
75,197.391,1.72943,1.78997,0.97717,0.86443,0.83777,0.88566,0.4168,1.75166,1.69361,1.01203,0.000104342,0.000104342,0.000104342
