epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,923.55,0.87094,0.57448,0.86591,0.9108,0.94621,0.98165,0.67324,1.04712,0.61374,0.95289,0.0004688,0.0004688,0.0004688
60,938.661,0.85665,0.56255,0.87013,0.92426,0.94229,0.98108,0.66926,1.06602,0.62804,0.94569,0.0004424,0.0004424,0.0004424
61,954.447,0.85073,0.56861,0.86845,0.89161,0.93822,0.9735,0.65989,1.01036,0.62857,0.93329,0.000416,0.000416,0.000416
62,969.956,0.86885,0.55904,0.87382,0.89029,0.92664,0.96987,0.66334,1.065,0.60942,0.94718,0.0003896,0.0003896,0.0003896
63,985.73,0.87438,0.54957,0.87343,0.94038,0.91353,0.9747,0.67489,1.02423,0.62941,0.94777,0.0003632,0.0003632,0.0003632
64,1001.2,0.84611,0.54403,0.87063,0.92249,0.9112,0.96552,0.67926,1.00661,0.6091,0.94493,0.0003368,0.0003368,0.0003368
65,1017.29,0.85476,0.53808,0.8714,0.93698,0.94208,0.97917,0.69073,1.02297,0.58241,0.95288,0.0003104,0.0003104,0.0003104
66,1033.63,0.8254,0.5321,0.86338,0.91328,0.89461,0.96021,0.68528,0.95594,0.61488,0.942,0.000284,0.000284,0.000284
67,1049.77,0.78031,0.50165,0.86248,0.93842,0.94981,0.9799,0.68909,0.9645,0.57495,0.94227,0.0002576,0.0002576,0.0002576
68,1064.97,0.79636,0.52059,0.85453,0.92364,0.93398,0.97959,0.70013,0.98318,0.57986,0.9509,0.0002312,0.0002312,0.0002312
69,1081.08,0.76235,0.49768,0.85112,0.95272,0.93356,0.97435,0.69001,0.97511,0.59311,0.94418,0.0002048,0.0002048,0.0002048
70,1096.26,0.76542,0.49425,0.85432,0.93972,0.95753,0.98315,0.69428,0.98219,0.56808,0.94175,0.0001784,0.0001784,0.0001784
71,1111.97,0.78043,0.49206,0.86423,0.96119,0.95619,0.98658,0.70822,0.95596,0.5666,0.93933,0.000152,0.000152,0.000152
72,1127.75,0.76192,0.4824,0.85475,0.95005,0.94981,0.98633,0.70604,0.98072,0.57182,0.94213,0.0001256,0.0001256,0.0001256
73,1143.53,0.76122,0.48543,0.84737,0.94674,0.9305,0.97466,0.69848,0.98051,0.55293,0.94343,9.92e-05,9.92e-05,9.92e-05
74,1158.64,0.73608,0.46724,0.85821,0.9261,0.96772,0.98337,0.70581,0.97956,0.54304,0.94198,7.28e-05,7.28e-05,7.28e-05
75,1174.37,0.72504,0.45838,0.86172,0.93831,0.93964,0.98202,0.70619,0.9467,0.54955,0.93697,4.64e-05,4.64e-05,4.64e-05
